city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Třemošná,49.8159,13.3951,Czechia,CZ,Plzeňský Kraj,,5082,5082
Luhačovice,49.0998,17.7575,Czechia,CZ,Zlínský Kraj,,5059,5059
Česká Skalice,50.3947,16.0428,Czechia,CZ,Královéhradecký Kraj,,5047,5047
Skuteč,49.8435,15.9966,Czechia,CZ,Pardubický Kraj,,5047,5047
Ledeč nad Sázavou,49.6952,15.2778,Czechia,CZ,Vysočina,,5043,5043
Horšovský Týn,49.5298,12.9441,Czechia,CZ,Plzeňský Kraj,,5034,5034
Bechyně,49.2953,14.4681,Czechia,CZ,Jihočeský Kraj,,5016,5016
Vrbno pod Pradědem,50.1210,17.3832,Czechia,CZ,Moravskoslezský Kraj,,4995,4995
Valašské Klobouky,49.1406,18.0076,Czechia,CZ,Zlínský Kraj,,4946,4946
Nýrsko,49.2940,13.1436,Czechia,CZ,Plzeňský Kraj,,4929,4929
Habartov,50.1831,12.5506,Czechia,CZ,Karlovarský Kraj,,4876,4876
Zruč nad Sázavou,49.7402,15.1061,Czechia,CZ,Středočeský Kraj,,4861,4861
Náměšť nad Oslavou,49.2073,16.1585,Czechia,CZ,Vysočina,,4861,4861
Jílové u Prahy,49.8955,14.4934,Czechia,CZ,Středočeský Kraj,,4857,4857
Vizovice,49.2229,17.8546,Czechia,CZ,Zlínský Kraj,,4857,4857
Heřmanŭv Městec,49.9471,15.6650,Czechia,CZ,Pardubický Kraj,,4856,4856
Chropyně,49.3564,17.3645,Czechia,CZ,Olomoucký Kraj,,4853,4853
Meziboři,50.6212,13.5988,Czechia,CZ,Ústecký Kraj,,4843,4843
Unhošť,50.0854,14.1301,Czechia,CZ,Středočeský Kraj,,4824,4824
Pečky,50.0905,15.0302,Czechia,CZ,Středočeský Kraj,,4814,4814
Protivín,49.1996,14.2172,Czechia,CZ,Jihočeský Kraj,,4808,4808
Kynšperk nad Ohří,50.1190,12.5303,Czechia,CZ,Karlovarský Kraj,,4799,4799
Bělá pod Bezdězem,50.5012,14.8042,Czechia,CZ,Středočeský Kraj,,4792,4792
Osek,50.6228,13.6860,Czechia,CZ,Ústecký Kraj,,4728,4728
Postoloprty,50.3599,13.7030,Czechia,CZ,Ústecký Kraj,,4727,4727
Pacov,49.4708,15.0017,Czechia,CZ,Vysočina,,4717,4717
Oslavany,49.1234,16.3365,Czechia,CZ,Jihomoravský Kraj,,4684,4684
Vracov,48.9752,17.2110,Czechia,CZ,Jihomoravský Kraj,,4570,4570
Votice,49.6402,14.6381,Czechia,CZ,Středočeský Kraj,,4569,4569
Vamberk,50.1176,16.2907,Czechia,CZ,Královéhradecký Kraj,,4567,4567
Cvikov,50.7767,14.6331,Czechia,CZ,Liberecký Kraj,,4509,4509
Adamov,49.3005,16.6586,Czechia,CZ,Jihomoravský Kraj,,4507,4507
Klimkovice,49.7881,18.1259,Czechia,CZ,Moravskoslezský Kraj,,4495,4495
Bor,49.7117,12.7752,Czechia,CZ,Plzeňský Kraj,,4486,4486
Bystřice,49.7322,14.6675,Czechia,CZ,Středočeský Kraj,,4483,4483
Lišov,49.0160,14.6084,Czechia,CZ,Jihočeský Kraj,,4426,4426
Bzenec,48.9734,17.2669,Czechia,CZ,Jihomoravský Kraj,,4389,4389
Bojkovice,49.0386,17.8149,Czechia,CZ,Zlínský Kraj,,4382,4382
Hluk,48.9881,17.5267,Czechia,CZ,Zlínský Kraj,,4372,4372
Rožmitál pod Třemšínem,49.6020,13.8643,Czechia,CZ,Středočeský Kraj,,4372,4372
